Desmiophyllum                            | Plant     | Coniferophyta              | -201300000    | -157300000   | <>
Deuterotrisauropus                       | Animal    | Chordata                   | -201300000    | -199300000   | Deuterotrisauropus
Diadema                                  | Animal    | Echinodermata              | -201300000    | -196500000   | Diadema
Diademopsis                              | Animal    | Echinodermata              | -201300000    | -163500000   | <>
Diarthrognathus                          | Animal    | Chordata                   | -201300000    | -190800000   | Diarthrognathus
Diastopora                               | Animal    | Bryozoa                    | -201300000    | -196500000   | <>
Diclidaster                              | Animal    | Echinodermata              | -201300000    | -199300000   | <>
Dicroidium                               | Plant     | Tracheophyta               | -201300000    | -174100000   | Dicroidium
Dicroloma                                | Animal    | Mollusca                   | -201300000    | -196500000   | <>
Dictyodiptera                            | Animal    | Arthropoda                 | -201300000    | -190800000   | <>
Dictyomitrella                           | Micro     | Radiolaria                 | -201300000    | -174100000   | <>
Dictyophyllum                            | Plant     | Pteridophyta               | -201300000    | -174100000   | <>
Dictyotipula                             | Animal    | Arthropoda                 | -201300000    | -190800000   | <>
Dilophosauripus                          | Animal    | Chordata                   | -201300000    | -196500000   | Dilophosauripus
Dilophosaurus                            | Animal    | Chordata                   | -201300000    | -190800000   | Dilophosaurus
Dimorphodon                              | Animal    | Chordata                   | -201300000    | -189600000   | Dimorphodon
Dinnebitodon                             | Animal    | Chordata                   | -201300000    | -190800000   | Dinnebitodon
Diphtheropsis                            | Animal    | Arthropoda                 | -201300000    | -190800000   | <>
Diplarchitipula                          | Animal    | Arthropoda                 | -201300000    | -190800000   | <>
Diplopolyneura                           | Animal    | Arthropoda                 | -201300000    | -190800000   | <>
Diplurus                                 | Animal    | Chordata                   | -201300000    | -199300000   | Diplurus
Dipterodictya                            | Animal    | Arthropoda                 | -201300000    | -190800000   | <>
Discamphiceras                           | Animal    | Mollusca                   | -201300000    | -189600000   | <>
Discinisca                               | Animal    | Brachiopoda                | -201300000    | -199300000   | Discinisca
Discocoenia                              | Animal    | Cnidaria                   | -201300000    | -199300000   | <>
